"1","Birla Institute of Technology and Science, Pilani"
"2","Dartmouth College"
"3","The Open University"
"4","The University of Exeter"
"5","Stanford University"
"6","Brown University"
"7","University of Connecticut"
"8","London School of Economics and Political Science"
"9","Rice University"
"10","California Institute of Technology"
"11","Duke University"
"12","Y Combinator"
"13","University of California, Berkeley"
"14","High School"
"15","Oakland Military Institute"
"16","V. N. Karazin Kharkiv National University"
"17","Mississippi Gulf Coast Community College"
"18","University of California, San Diego"
"19","City University of Hong Kong"
"20","Politecnico di Milano"
"21","University of California, Irvine"
"22","Indian Institute of Technology, Guwahati"
"23","University of Minnesota"
"24","Harvard Business School Online"
"25","Syracuse University"
"26","Princeton University"
"27","University of Michigan-Ann Arbor"
"28","The Harker School"
"29","Harvard University"
"30","University of Colorado Boulder"
"31","University of Pittsburgh"
"32","University College London"
"33","High School"
"34","National University of Singapore"
"35","Georgia Institute of Technology"
"36","Columbia University"
"37","University of Pennsylvania"
"38","University of Pennsylvania"
"39","Nichols School"
"40","Carnegie Mellon University"
"41","Coursera"
"42","Yale University"
"43","Universidad Iberoamericana, Ciudad de México"
"44","Vista hermosa"
"45","Universidad Iberoamericana"
"46","The University of Auckland"
"47","Stanford University Graduate School of Business"
"48","Bellarmine College Preparatory"
"49","Nanyang Technological University, Singapore"
"50","University of Waterloo"
"51","University of Illinois at Urbana-Champaign"
"52","UC Berkeley College of Engineering"
"53","University of Oxford"
"54","The University of Georgia"
"55","St. Columba's School"
"56","Rochester Institute of Technology"
"57","Imperial College London"
"58","IIT Bombay"
"59","University of Madras"
"60","Tuck School of Business at Dartmouth"
"61","Savitribai Phule Pune University"
"62","High School"
"63","National Institute of Technology Tiruchirappalli"
"64","Kendriya Vidyalaya"
"65","Birla Institute of Technology"
"66","The Hotchkiss School"
"67","Northwestern University"
"68","University of Pennsylvania"
"69","University of Texas at Austin"
"70","Aarhus University"
"71","IT"
"72","Tufts University"
"73","Belarusian State University"
"74","Dhirubhai Ambani International School"
"75","High School"
"76","Harvard Business School"
"77","IIT Delhi"
"78","National Institute of Technology, Kurukshetra"
"79","IIT Roorkee"
"80","State Engineering University of Armenia"
"81","Carnegie Mellon University"
"82","Carnegie Mellon University College of Engineering"
"83","University of California, San Diego"
"84","The University of Queensland"
"85","High School"
"86","High School"
"87","Humber College"
"88","Tecnológico de Monterrey"
"89","Royal Holloway University of London"
"90","HEC Paris"
"91","HKUST Business School"
"92","Ivey Business School at Western University"
"93","Claremont Colleges"
"94","Royal Holloway University of London"
"95","The University of British Columbia"
"96","Rock Health"
"97","Michigan State University"
"98","University of San Diego"
"99","CentraleSupélec"
"100","Ecole normale supérieure"
"101","Simon Fraser University"
"102","Waseda University"
"103","Manchester Metropolitan University"
"104","University of Alberta"
"105","University of Washington"
"106","University of Southern California"
"107","Purdue University"
"108","Queen's University Belfast"
"109","University of Cambridge"
"110","High School"
"111","College of Engineering Trivandrum"
"112","IIT Kanpur"
"113","Jawahar Navodaya Vidyalaya, Birauli, Samastipur"
"114","Kendriya Vidyala, Andrews Ganj"
"115","Guru Gobind Singh Indraprastha University"
"116","RV College Of Engineering"
"117","Indian School of Business"
"118","IE Business School"
"119","Pondicherry University"
"120","IE Business School"
"121","Pondicherry Engineering College"
"122","St. Joseph's Convent School, Pathankot"
"123","Stanford Continuing Studies"
"124","High School"
"125","International Institute of Information Technology"
"126","Indian Institute of Science"
"127","University of Toronto"
"128","University of San Diego"
"129","Strathcona"
"130","Crescent School"
"131","University of Ottawa"
"132","Institut National des Sciences Appliquées de Lyon"
"133","Nottingham"
"134","New York University"
"135","Gordonstoun School"
"136","Newcastle University"
"137","Lycee International de St. Germain"
"138","FGV - Fundação Getulio Vargas"
"139","Colégio Bandeirantes"
"140","Massachusetts Institute of Technology"
"141","Ecole Centrale Paris"
"142","Taras Shevchenko National University of Kyiv"
"143","Norwegian University of Life Sciences"
"144","CUNY Hunter College"
"145","Rigas Tehniska Universitate"
"146","Université de Technologie de Belfort-Montbéliard"
"147","ESMT"
"148","UTBM"
"149","Massachusetts Institute of Technology"
"150","San Jose State University"
"151","Cornell University"
"152","Indiana University Bloomington"
"153","High School"
"154","Williams College"
"155","Commercial Real Estate"
"156","Penn State University"
"157","University College Cork"
"158","University of New Hampshire"
"159","California College of the Arts"
"160","University of Chicago"
"161","Clemson University"
"162","The George Washington University"
"163","University of Oregon"
"164","The Heiden Institute of Jerusalem"
"165","Harvard Law School"
"166","Cornell University College of Engineering"
"167","Queensland University of Technology"
"168","London Business School"
"169","Weizmann Institute of Science"
"170","Bar-Ilan University"
"171","Interdisciplinary Center Herzliya"
"172","Harvard Graduate School of Arts and Sciences"
"173","The Hebrew University of Jerusalem"
"174","Université de Montréal "
"175","Lycée Sainte Geneviève"
"176","High School"
"177","High School"
"178","Obafemi Awolowo University,Ile-Ife"
"179","Management and Science University"
"180","The University of Arizona"
"181","The University of Arizona"
"182","Tekedia Institute"
"183","University of Ilorin"
"184","High School"
"185","Emory University"
"186","Obafemi Awolowo University"
"187","Garden Institute of Business and Entrepreneurship"
"188","St. James' School, Kolkata"
"189","Delhi Public School, R.K.Puram, New Delhi"
"190","Management Development Institute"
"191","SGH Warsaw School of Economics"
"192","Indian Institute of Technology Varanasi"
"193","Management Development Institute, Gurgaon"
"194","California State University - Los Angeles"
"195","Middlesex University"
"196","Ecole internationale des Sciences du Traitement de l'Information"
"197","University of Oxford"
"198","SKEMA Bachelor"
"199","Faculty of Automatic Control and Computer Science at Politehnica University of Bucharest"
"200","University of Bucharest"
"201","National Institute of Technology, Tiruchirappalli"
"202","Eton College"
"203","Havard Business School"
"204","BITS Pilani"
"205","Pune Institute of Computer Technology"
"206","University of Technology Sydney"
"207","INSEAD"
"208","Northern Virginia Community College"
"209","Keene State College"
"210","Prépa Joffre MP"
"211","Télécom Paris"
"212","New York University"
"213","University of Nottingham"
"214","Universidad Autónoma de Madrid"
"215","Universidad Politécnica de Madrid"
"216","Kungliga tekniska högskolan"
"217","Grenoble Ecole de Management"
"218","National University of Science and Technology \"MISIS\"  (Moscow Institute of Steel and Alloys)"
"219","O'Reilly School of Technology"
"220","DePaul University"
"221","National University of Shipbuilding (Ukraine)"
"222","National University of Shipbuilding"
"223","ITESO"
"224","IPADE Business School"
"225","University of Massachusetts Amherst"
"226","High School"
"227","University of Delaware"
"228","Latvijas Universitate"
"229","Uniiversidad ICESI"
"230","University of Rochester"
"231","Colegio Alemán de Barranquilla"
"232","Universidad del Norte"
"233","Montpellier Business School"
"234","University of Wisconsin-Madison"
"235","Drexel University"
"236","NIT Raipur"
"237","Georgia Tech"
"238","Universidad Nacional de Córdoba - UNC"
"239","Universitat Politècnica de Catalunya · BarcelonaTech"
"240","Universidad de Santiago de Chile"
"241","ITBA"
"242","Universidad Empresarial 'Siglo 21'"
"243","Católica de Córdoba"
"244","Harvard University Kennedy School of Government"
"245","United World College South East Asia"
"246","Air University"
"247","University of Ottawa"
"248","Yunnan Nationalities University"
"249","Bates College"
"250","Banha University"
"251","CFA Institute"
"252","John Molson School of Business, Concordia, Montreal"
"253","The American University in Cairo"
"254","Lycée Jean Perrin"
"255","Business Administration"
"256","Computer Science"
"257","German University in Cairo"
"258","Universität Hamburg"
"259","International School of Choueifat, UAE"
"260","El Shorouk Academy"
"261","University of North Carolina, Chapel Hill"
"262","The University of Manchester"
"263","The University of Warwick"
"264","University of Virginia"
"265","Chatham Kent Secondary School"
"266","High School"
"267","ISN"
"268","University of Brighton"
"269","Center for Digital Technology and Management"
"270","Technical University of Munich"
"271","Tsinghua University"
"272","RWTH Aachen University"
"273","University of South Australia"
"274","California Polytechnic State University"
"275","Abasaheb Garware Science College"
"276","Amrita University"
"277","Farnborough 6th Form College"
"278","Massachusetts Institute of Techonology"
"279","IIT Madras"
"280","Northumbria University"
"281","Universidad de Santiago de Chile"
"282","Colegio AlemÃ¡n de Santiago"
"283","Colegio Suizo de Santiago"
"284","Colegio Alemán de Santiago"
"285","Vanderbilt University"
"286","North Carolina State University"
"287","Florida Atlantic University - Boca Raton"
"288","University of Florida"
"289","University of Wisconsin-Madison"
"290","Loyola School Jamshedpur"
"291","Shri Ram College of Commerce"
"292","Indian Institute of Management, Ahmedabad"
"293","Delhi Public School - R. K. Puram"
"294","McGill University"
"295","University of Michigan-Ann Arbor"
"296","High School"
"297","University of Missouri, Columbia"
"298","Northumbria University (UK)"
"299","St. Xavier's College, Mumbai"
"300","Boğaziçi University"
"301","Robert Gordon University"
"302","The University of Edinburgh"
"303","University of St Andrews"
"304","Rutgers University"
"305","Birla Institute of Technology and Science, Pilani (BITS Pilani)"
"306","High School"
"307","Campion School, Bhopal"
"308","IIT Kharagpur"
"309","Rensselaer Polytechnic Institute"
"310","Stevens Institute of Technology"
"311","University of Toronto"
"312","M.I.T , Manipal"
"313","University of Maryland, Baltimore County"
"314","Amherst College"
"315","Aleppo University"
"316","Startup School Online"
"317","Grinnell College"
"318","Institute of Business Management"
"319","Cardiff University"
"320","National Institute of Technology Trichy"
"321","Zurich International School"
"322","Brown University"
"323","Wake Forest University"
"324","St. Anselms School"
"325","DAV Public School"
"326","Chalmers University of Technology"
"327","Göteborgs Tekniska Institut"
"328","Brigham Young University"
"329","Diablo Valley College"
"330","UCLA Anderson School of Management"
"331","University of California, San Francisco"
"332","ITAM"
"333","University of Minnesota Twin Cities"
"334","ITESM"
"335","The Ohio State University"
"336","Mahatma Gandhi University"
"337","Universidade Federal de Minas Gerais"
"338","Instituto Federal de Educação, Ciência e Tecnologia de Minas Gerais - IFMG"
"339","Universidad de Guadalajara"
"340","Universitat Autònoma de Barcelona"
"341","Università Cattolica del Sacro Cuore"
"342","EDHEC Business School"
"343","University of California, Berkeley, Haas School of Business"
"344","Universidad ORT Uruguay"
"345","Universidad Francisco de Vitoria"
"346","Bachillerato Ánahuac de Monterrey"
"347","Instituto Irlandés de Monterrey"
"348","Colegio Menor"
"349","Boston College"
"350","Lycée Français Jean Mermoz"
"351","Universidad de Buenos Aires"
"352","Insper"
"353","Graded School of São Paulo"
"354","Univerza v Mariboru"
"355","Jyväskylän yliopisto"
"356","ULB"
"357","University of Leeds"
"358","Kellogg Executive Education"
"359","Ludwig Maximilian University of Munich"
"360","Cégep Limoilou"
"361","Université de Sherbrooke"
"362","Seth Godin's alternative MBA"
"363","Saint Lawrence University"
"364","Babson College - Franklin W. Olin Graduate School of Business"
"365","Salisbury School"
"366","University of Florida"
"367","Paris School of Economics"
"368","University of Alicante"
"369","KTH Royal Institute of Technology"
"370","University of East Anglia"
"371","Sciences Po"
"372","Le Wagon"
"373","Academy of Art University"
"374","University of Otago"
"375","University of California, Santa Barbara"
"376","CIV - International Center of Valbonne"
"377","EPITA"
"378","EPF Ecole d'Ingénieurs"
"379","Colegio Nueva Granada"
"380","Colegio de Estudios Superiores de Administración - CESA"
"381","Linköping University (Sweden)"
"382","École Polytechnique Fédérale de Lausanne"
"383","Emory University - Goizueta Business School"
"384","Nizhniy Novgorod State Technical University named after R.Y. Alekseev (NSTU)"
"385","Karl-Franzens-Universitaet Graz"
"386","Babson College"
"387","King's College London"
"388","Aristoteleion Panepistimion Thessalonikis"
"389","Brighton Secondary College"
"390","Monash University"
"391","Duke Medical School"
